Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOPTEMPLATE,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOPTEMPLATE,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},Success and Failure,,3
