Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOP-5BRV63F,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-5BRV63F,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-5BRV63F,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-5BRV63F,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,,3
DESKTOP-5BRV63F,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-5BRV63F,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5BRV63F,,Option:CrashOnAuditFail,,Disabled,,0
DESKTOP-5BRV63F,,Option:FullPrivilegeAuditing,,Disabled,,0
DESKTOP-5BRV63F,,Option:AuditBaseObjects,,Disabled,,0
DESKTOP-5BRV63F,,Option:AuditBaseDirectories,,Disabled,,0
DESKTOP-5BRV63F,,FileGlobalSacl,,,,
DESKTOP-5BRV63F,,RegistryGlobalSacl,,,,
